date,retail_price,wholesale_price,average_temperature,average_rainfall,diesel_price
2017-12-11,128.75,49.0,26.2,3.8,95.0
2017-12-18,123.0,51.44444444,25.11,0.84,95.0
2017-12-25,118.64864864864865,71.42857143,24.78,3.14,95.0
2018-01-01,117.14285714285714,35.41666667,24.82,0.01,95.0
2018-01-08,118.78787878787878,40.83333333,24.66,2.61,95.0
2018-01-15,106.66666666666669,38.75,24.53,0.06,95.0
2018-01-22,101.95121951219512,36.66666667,24.88,0.13,95.0
2018-01-29,108.78048780487804,40.41666667,25.38,0.66,95.0
2018-02-05,113.51351351351352,42.08333333,26.66,1.0,95.0
2018-02-12,114.375,45.83333333,26.11,0.77,95.0
2018-02-19,116.875,47.91666667,26.04,0.44,95.0
2018-02-26,112.58064516129032,47.08333333,26.85,2.03,95.0
2018-03-05,102.6470588235294,44.58333333,27.39,0.31,95.0
2018-03-12,101.17647058823528,42.5,27.67,2.93,95.0
2018-03-19,100.0,35.0,28.96,0.06,95.0
2018-03-26,98.4375,27.5,28.94,5.73,95.0
2018-04-02,97.14285714285714,19.58333333,29.14,5.9,95.0
2018-04-09,98.57142857142856,21.5,28.48,4.74,95.0
2018-04-16,97.4074074074074,19.16666667,29.27,1.37,95.0
2018-04-23,94.24242424242424,18.75,29.41,3.87,95.0
2018-04-30,81.81818181818181,17.91666667,29.14,5.89,95.0
2018-05-07,84.32432432432432,19.16666667,28.22,6.6,95.0
2018-05-14,87.71428571428571,19.28571429,26.89,8.09,95.0
2018-05-21,88.15789473684211,21.66666667,26.57,8.89,109.0
2018-05-28,97.05882352941175,23.63636364,28.06,2.34,109.0
2018-06-04,87.5,26.66666667,27.57,2.61,109.0
2018-06-11,88.78787878787878,27.30769231,27.8,1.34,109.0
2018-06-18,87.3529411764706,26.66666667,27.59,1.26,109.0
2018-06-25,89.39393939393939,27.5,28.1,0.53,109.0
2018-07-02,91.66666666666669,28.46153846,28.47,0.67,109.0
2018-07-09,100.57142857142856,32.91666667,28.24,0.51,109.0
2018-07-16,104.71,38.75,29.09,0.04,109.0
2018-07-23,113.61111111111111,40.5,29.31,0.17,118.0
2018-07-30,130.32258064516128,75.83333333,28.66,0.49,118.0
2018-08-06,135.16129032258064,78.33333333,28.38,1.73,118.0
