week_start_date,district,average_temperature,average_rainfall
2020-07-20,Matale,24.81,3.87
2020-07-27,Matale,24.61,11.83
2020-08-03,Matale,24.35,16.79
2020-08-10,Matale,25.04,3.34
2020-08-17,Matale,25.61,0.91
2020-08-24,Matale,25.74,1.57
2020-08-31,Matale,24.63,9.87
2020-09-07,Matale,24.5,8.91
2020-09-14,Matale,24.34,13.84
2020-09-21,Matale,24.64,9.29
2020-09-28,Matale,24.59,6.44
2020-10-05,Matale,24.86,3.74
2020-10-12,Matale,24.4,10.14
2020-10-19,Matale,24.83,3.73
2020-10-26,Matale,24.89,4.11
2020-11-02,Matale,25.59,11.3
2020-11-09,Matale,25.29,12.93
2020-11-16,Matale,24.99,18.19
2020-11-23,Matale,24.11,3.81
2020-11-30,Matale,24.16,19.7
2020-12-07,Matale,24.51,0.63
2020-12-14,Matale,23.94,10.56
2020-12-21,Matale,23.83,24.21
2020-12-28,Matale,24.48,3.39
2021-01-04,Matale,24.59,17.76
2021-01-11,Matale,24.42,6.19
2021-01-18,Matale,24.0,0.86
2021-01-25,Matale,23.41,1.0
2021-02-01,Matale,24.02,1.36
2021-02-08,Matale,23.94,0.39
2021-02-15,Matale,25.06,1.13
2021-02-22,Matale,25.67,0.37
2021-03-01,Matale,25.54,0.8
2021-03-08,Matale,25.82,1.4
2021-03-15,Matale,25.9,2.81
2021-03-22,Matale,26.52,4.57
2021-03-29,Matale,26.61,0.84
2021-04-05,Matale,26.53,15.11
2021-04-12,Matale,25.32,28.39
2021-04-19,Matale,25.83,1.73
2021-04-26,Matale,25.99,18.79
2021-05-03,Matale,25.69,42.06
2021-05-10,Matale,25.74,10.14
2021-05-17,Matale,25.76,3.49
2021-05-24,Matale,24.56,20.36
2021-05-31,Matale,25.24,10.77
2021-06-07,Matale,24.97,7.63
2021-06-14,Matale,24.89,5.09
2021-06-21,Matale,24.94,3.9
2021-06-28,Matale,25.36,4.1
2021-07-05,Matale,24.88,12.26
2021-07-12,Matale,25.29,6.14
2021-07-19,Matale,24.74,10.67
2021-07-26,Matale,24.91,4.07
2021-08-02,Matale,24.63,6.66
2021-08-09,Matale,24.75,9.41
2021-08-16,Matale,24.78,3.79
2021-08-23,Matale,24.55,7.99
2021-08-30,Matale,24.39,5.83
2021-09-06,Matale,24.74,4.46
